Ta,I,VI,VIM,VIM
1.00,0.45,0.18,27.00,0.45
2.00,0.60,0.12,18.00,0.3
3.00,0.71,0.10,14.00,0.233333333333333
4.00,0.79,0.08,12.00,0.2
5.00,0.87,0.07,10.00,0.166666666666667
7.00,1.00,0.06,8.50,0.141666666666667
9.00,1.10,0.05,7.40,0.123333333333333
11.00,1.20,0.04,6.50,0.108333333333333
13.00,1.30,0.04,5.90,0.0983333333333333
15.00,1.40,0.04,5.40,0.09
19.00,1.50,0.03,4.70,0.0783333333333333
23.00,1.60,0.03,4.20,0.07
27.00,1.70,0.03,3.80,0.0633333333333333
31.00,1.80,0.02,3.50,0.0583333333333333
35.00,1.90,0.02,3.30,0.055
40.00,2.00,0.02,3.00,0.05
45.00,2.10,0.02,2.80,0.0466666666666667
50.00,2.20,0.02,2.70,0.045
55.00,2.30,0.02,2.50,0.0416666666666667
60.00,2.40,0.02,2.40,0.04
65.00,2.50,0.02,2.30,0.0383333333333333
